#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sat Nov  8 15:27:08 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       scanner_wrapper_map.ncd
#OUTPUT FILE:      scanner_wrapper_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AB33,scn_data_clt<254>,IOB,IO_L2P_SM6P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AB34,scn_dvld_clt,IOB,IO_L17P_SM11P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
AB35,,,VCCO_11,,,11,,,,,2.50,,,,
AB36,scn_cmd_clt<4>,IOB,IO_L15N_SM13N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
AB37,scn_id_clt<15>,IOB,IO_L4N_VREF_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
AB38,,,GND,,,,,,,,,,,,
AB39,,,MGTRREF_111,,,,,,,,,,,,
AB40,,,GND,,,,,,,,,,,,
AB41,,OPAD,MGTTXP0_113,UNUSED,,,,,,,,,,,
AB42,,,GND,,,,,,,,,,,,
AC1,,IPAD,MGTRXP0_114,UNUSED,,,,,,,,,,,
AC2,,OPAD,MGTTXN0_114,UNUSED,,,,,,,,,,,
AC3,,,MGTAVTTRX_114,,,,,,,,,,,,
AC4,,,GND,,,,,,,,,,,,
AC5,,,GND,,,,,,,,,,,,
AC6,scn_id_clt<6>,IOB,IO_L7N_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
AC7,,,GND,,,,,,,,,,,,
AC8,scn_id_clt<4>,IOB,IO_L12P_VRN_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
AC9,dpt_bvld_scn<10>,IOB,IO_L14P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AC10,scn_id_clt<25>,IOB,IO_L16N_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
AC11,dpt_bvld_scn<2>,IOB,IO_L18P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AC12,,,VCCAUX,,,,,,,,2.5,,,,
AC13,,,GND,,,,,,,,,,,,
AC14,,,VCCINT,,,,,,,,1.0,,,,
AC15,,,GND,,,,,,,,,,,,
AC16,,,VCCINT,,,,,,,,1.0,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,,VCCINT,,,,,,,,1.0,,,,
AC19,,,GND,,,,,,,,,,,,
AC20,,,VCCINT,,,,,,,,1.0,,,,
AC21,,,DXN_0,,,,,,,,,,,,
AC22,,,DXP_0,,,,,,,,,,,,
AC23,,,GND,,,,,,,,,,,,
AC24,,,VCCINT,,,,,,,,1.0,,,,
AC25,,,GND,,,,,,,,,,,,
AC26,,,VCCINT,,,,,,,,1.0,,,,
AC27,,,GND,,,,,,,,,,,,
AC28,,,VCCINT,,,,,,,,1.0,,,,
AC29,,,GND,,,,,,,,,,,,
AC30,scn_bvld_clt<6>,IOB,IO_L8N_CC_SM1N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AC31,scn_bvld_clt<5>,IOB,IO_L8P_CC_SM1P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AC32,,,VCCO_13,,,13,,,,,2.50,,,,
AC33,,IOBS,IO_L2N_SM6N_13,UNUSED,,13,,,,,,,,,
AC34,scn_bvld_clt<29>,IOB,IO_L0N_SM8N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AC35,scn_data_clt<253>,IOB,IO_L0P_SM8P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AC36,scn_rdy_dpt,IOB,IO_L15P_SM13P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
AC37,,,GND,,,,,,,,,,,,
AC38,,,GND,,,,,,,,,,,,
AC39,,,GND,,,,,,,,,,,,
AC40,,,MGTAVTTRX_113,,,,,,,,,,,,
AC41,,OPAD,MGTTXN0_113,UNUSED,,,,,,,,,,,
AC42,,IPAD,MGTRXP0_113,UNUSED,,,,,,,,,,,
AD1,,IPAD,MGTRXN0_114,UNUSED,,,,,,,,,,,
AD2,,,GND,,,,,,,,,,,,
AD3,,IPAD,MGTREFCLKN_114,UNUSED,,,,,,,,,,,
AD4,,IPAD,MGTREFCLKP_114,UNUSED,,,,,,,,,,,
AD5,,,GND,,,,,,,,,,,,
AD6,dpt_id_scn<5>,IOB,IO_L1N_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AD7,dpt_id_scn<4>,IOB,IO_L1P_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AD8,dpt_id_scn<26>,IOB,IO_L14N_VREF_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AD9,,,VCCO_12,,,12,,,,,2.50,,,,
AD10,scn_data_clt<2>,IOB,IO_L17P_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AD11,dpt_bvld_scn<29>,IOB,IO_L16P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AD12,,,GND,,,,,,,,,,,,
AD13,,,VCCAUX,,,,,,,,2.5,,,,
AD14,,,GND,,,,,,,,,,,,
AD15,,,VCCINT,,,,,,,,1.0,,,,
AD16,,,GND,,,,,,,,,,,,
AD17,,,VCCINT,,,,,,,,1.0,,,,
AD18,,,GND,,,,,,,,,,,,
AD19,,,VCCINT,,,,,,,,1.0,,,,
AD20,,,GND,,,,,,,,,,,,
AD21,,,VCCINT,,,,,,,,1.0,,,,
AD22,,,GND,,,,,,,,,,,,
AD23,,,VCCINT,,,,,,,,1.0,,,,
AD24,,,GND,,,,,,,,,,,,
AD25,,,VCCINT,,,,,,,,1.0,,,,
AD26,,,GND,,,,,,,,,,,,
AD27,,,VCCINT,,,,,,,,1.0,,,,
AD28,,,GND,,,,,,,,,,,,
AD29,,,VCCAUX,,,,,,,,2.5,,,,
AD30,scn_bvld_clt<22>,IOB,IO_L16N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AD31,scn_bvld_clt<21>,IOB,IO_L16P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AD32,scn_bvld_clt<19>,IOB,IO_L15P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AD33,scn_bvld_clt<20>,IOB,IO_L15N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AD34,,,GND,,,,,,,,,,,,
AD35,scn_bvld_clt<1>,IOB,IO_L6P_SM3P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AD36,,IOBS,IO_L4N_VREF_13,UNUSED,,13,,,,,,,,,
AD37,,IOBM,IO_L4P_13,UNUSED,,13,,,,,,,,,
AD38,,,GND,,,,,,,,,,,,
AD39,,IPAD,MGTREFCLKP_113,UNUSED,,,,,,,,,,,
AD40,,IPAD,MGTREFCLKN_113,UNUSED,,,,,,,,,,,
AD41,,,GND,,,,,,,,,,,,
AD42,,IPAD,MGTRXN0_113,UNUSED,,,,,,,,,,,
AE1,,IPAD,MGTRXN1_114,UNUSED,,,,,,,,,,,
AE2,,,GND,,,,,,,,,,,,
AE3,,,MGTAVCC_114,,,,,,,,,,,,
AE4,,,GND,,,,,,,,,,,,
AE5,,,GND,,,,,,,,,,,,
AE6,,,GND,,,,,,,,,,,,
AE7,,,VCCO_14,,,14,,,,,2.50,,,,
AE8,dpt_bvld_scn<31>,IOB,IO_L3P_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AE9,scn_data_clt<7>,IOB,IO_L16N_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AE10,scn_data_clt<0>,IOB,IO_L17N_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AE11,,,GND,,,,,,,,,,,,
AE12,,,VCCAUX,,,,,,,,2.5,,,,
AE13,,,GND,,,,,,,,,,,,
AE14,,,VCCINT,,,,,,,,1.0,,,,
AE15,,,GND,,,,,,,,,,,,
AE16,,,VCCINT,,,,,,,,1.0,,,,
AE17,,,GND,,,,,,,,,,,,
AE18,,,VCCINT,,,,,,,,1.0,,,,
AE19,,,GND,,,,,,,,,,,,
AE20,,,VCCINT,,,,,,,,1.0,,,,
AE21,,,GND,,,,,,,,,,,,
AE22,,,VCCINT,,,,,,,,1.0,,,,
AE23,,,GND,,,,,,,,,,,,
AE24,,,VCCINT,,,,,,,,1.0,,,,
AE25,,,GND,,,,,,,,,,,,
AE26,,,VCCINT,,,,,,,,1.0,,,,
AE27,,,GND,,,,,,,,,,,,
AE28,,,VCCINT,,,,,,,,1.0,,,,
AE29,,,GND,,,,,,,,,,,,
AE30,,,VCCAUX,,,,,,,,2.5,,,,
AE31,,,GND,,,,,,,,,,,,
AE32,scn_bvld_clt<14>,IOB,IO_L12N_VRP_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AE33,scn_bvld_clt<13>,IOB,IO_L12P_VRN_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AE34,scn_bvld_clt<10>,IOB,IO_L10N_CC_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AE35,scn_bvld_clt<2>,IOB,IO_L6N_SM3N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AE36,,,VCCO_13,,,13,,,,,2.50,,,,
AE37,scn_bvld_clt<12>,IOB,IO_L11N_CC_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AE38,,,GND,,,,,,,,,,,,
AE39,,,GND,,,,,,,,,,,,
AE40,,,MGTAVCC_113,,,,,,,,,,,,
AE41,,,GND,,,,,,,,,,,,
AE42,,IPAD,MGTRXN1_113,UNUSED,,,,,,,,,,,
AF1,,IPAD,MGTRXP1_114,UNUSED,,,,,,,,,,,
AF2,,OPAD,MGTTXN1_114,UNUSED,,,,,,,,,,,
AF3,,,MGTAVCCPLL_114,,,,,,,,,,,,
AF4,,,GND,,,,,,,,,,,,
AF5,dpt_id_scn<6>,IOB,IO_L5P_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AF6,clt_rdy_scn,IOB,IO_L5N_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AF7,scn_id_clt<17>,IOB,IO_L3N_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AF8,,,GND,,,,,,,,,,,,
AF9,scn_data_clt<1>,IOB,IO_L16P_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AF10,,IOBM,IO_L8P_CC_14,UNUSED,,14,,,,,,,,,
AF11,dpt_bvld_scn<30>,IOB,IO_L2P_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AF12,dpt_bvld_scn<7>,IOB,IO_L0N_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AF13,,,VCCAUX,,,,,,,,2.5,,,,
AF14,,,RSVD,,,,,,,,,,,,
AF15,,,TMS_0,,,,,,,,,,,,
AF16,,,TCK_0,,,,,,,,,,,,
AF17,,,VCCINT,,,,,,,,1.0,,,,
AF18,,,GND,,,,,,,,,,,,
AF19,,,VCCINT,,,,,,,,1.0,,,,
AF20,,,GND,,,,,,,,,,,,
AF21,,,VCCINT,,,,,,,,1.0,,,,
AF22,,,GND,,,,,,,,,,,,
AF23,,,VCCINT,,,,,,,,1.0,,,,
AF24,,,GND,,,,,,,,,,,,
AF25,,,VCCINT,,,,,,,,1.0,,,,
AF26,,,GND,,,,,,,,,,,,
AF27,,,VCCINT,,,,,,,,1.0,,,,
AF28,,,GND,,,,,,,,,,,,
