#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sat Nov  8 15:27:08 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       scanner_wrapper_map.ncd
#OUTPUT FILE:      scanner_wrapper_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AN41,,OPAD,MGTTXP1_117,UNUSED,,,,,,,,,,,
AN42,,,GND,,,,,,,,,,,,
AP1,,,GND,,,,,,,,,,,,
AP2,,OPAD,MGTTXP0_122,UNUSED,,,,,,,,,,,
AP3,,,GND,,,,,,,,,,,,
AP4,,,GND,,,,,,,,,,,,
AP5,scn_data_clt<4>,IOB,IO_L15P_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AP6,scn_data_clt<5>,IOB,IO_L15N_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AP7,scn_data_clt<53>,IOB,IO_L19N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AP8,scn_data_clt<190>,IOB,IO_L15P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AP9,,,VCCO_26,,,26,,,,,2.50,,,,
AP10,scn_data_clt<209>,IOB,IO_L3P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AP11,scn_data_clt<24>,IOB,IO_L5P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AP12,scn_data_clt<22>,IOB,IO_L5N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AP13,scn_data_clt<178>,IOB,IO_L16P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AP14,,,GND,,,,,,,,,,,,
AP15,scn_data_clt<241>,IOB,IO_L14P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AP16,scn_data_clt<244>,IOB,IO_L15N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AP17,scn_data_clt<236>,IOB,IO_L11N_CC_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AP18,scn_data_clt<218>,IOB,IO_L2N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AP19,,,VCCO_4,,,4,,,,,2.50,,,,
AP20,scn_data_clt<174>,IOB,IO_L5N_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AP21,scn_data_clt<143>,IOB,IO_L5P_GC_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AP22,scn_data_clt<35>,IOB,IO_L17N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AP23,scn_data_clt<76>,IOB,IO_L13N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AP24,,,GND,,,,,,,,,,,,
AP25,scn_data_clt<36>,IOB,IO_L9P_D1_FS1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AP26,scn_data_clt<207>,IOB,IO_L7P_D5_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AP27,scn_data_clt<204>,IOB,IO_L5N_CSO_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AP28,scn_data_clt<188>,IOB,IO_L1N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AP29,,,VCCO_29,,,29,,,,,2.50,,,,
AP30,scn_data_clt<124>,IOB,IO_L12N_VRP_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AP31,scn_data_clt<177>,IOB,IO_L15N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AP32,scn_data_clt<187>,IOB,IO_L11P_CC_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AP33,scn_data_clt<212>,IOB,IO_L11N_CC_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AP34,,,GND,,,,,,,,,,,,
AP35,scn_data_clt<98>,IOB,IO_L7N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AP36,scn_data_clt<129>,IOB,IO_L7P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AP37,scn_data_clt<116>,IOB,IO_L14P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AP38,scn_data_clt<152>,IOB,IO_L14N_VREF_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AP39,,,GND,,,,,,,,,,,,
AP40,,,GND,,,,,,,,,,,,
AP41,,OPAD,MGTTXP0_121,UNUSED,,,,,,,,,,,
AP42,,,GND,,,,,,,,,,,,
AR1,,IPAD,MGTRXP0_122,UNUSED,,,,,,,,,,,
AR2,,OPAD,MGTTXN0_122,UNUSED,,,,,,,,,,,
AR3,,,MGTAVTTRX_122,,,,,,,,,,,,
AR4,,,GND,,,,,,,,,,,,
AR5,,,GND,,,,,,,,,,,,
AR6,scn_data_clt<52>,IOB,IO_L19P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AR7,scn_data_clt<30>,IOB,IO_L8P_CC_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AR8,scn_data_clt<14>,IOB,IO_L0P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AR9,scn_data_clt<183>,IOB,IO_L0N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AR10,scn_data_clt<126>,IOB,IO_L1P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AR11,,,GND,,,,,,,,,,,,
AR12,scn_data_clt<158>,IOB,IO_L16N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AR13,scn_data_clt<232>,IOB,IO_L9N_CC_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AR14,scn_data_clt<242>,IOB,IO_L14N_VREF_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AR15,scn_data_clt<243>,IOB,IO_L15P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AR16,,,VCCO_30,,,30,,,,,2.50,,,,
AR17,scn_data_clt<230>,IOB,IO_L8N_CC_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AR18,scn_data_clt<214>,IOB,IO_L0N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AR19,scn_data_clt<213>,IOB,IO_L0P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AR20,scn_data_clt<140>,IOB,IO_L3P_GC_D9_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AR21,,,GND,,,,,,,,,,,,
AR22,scn_data_clt<68>,IOB,IO_L17P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AR23,scn_data_clt<97>,IOB,IO_L15P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AR24,scn_data_clt<46>,IOB,IO_L0P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AR25,scn_data_clt<104>,IOB,IO_L9N_D0_FS0_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AR26,,,VCCO_2,,,2,,,,,2.50,,,,
AR27,scn_data_clt<202>,IOB,IO_L5P_FWE_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AR28,scn_data_clt<29>,IOB,IO_L10P_CC_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AR29,scn_data_clt<127>,IOB,IO_L10N_CC_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AR30,scn_data_clt<31>,IOB,IO_L12P_VRN_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AR31,,,GND,,,,,,,,,,,,
AR32,scn_data_clt<80>,IOB,IO_L13P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AR33,scn_data_clt<151>,IOB,IO_L8N_CC_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AR34,scn_data_clt<19>,IOB,IO_L8P_CC_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AR35,scn_data_clt<64>,IOB,IO_L4P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AR36,,,VCCO_25,,,25,,,,,2.50,,,,
AR37,scn_data_clt<111>,IOB,IO_L5N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AR38,,,GND,,,,,,,,,,,,
AR39,,,GND,,,,,,,,,,,,
AR40,,,MGTAVTTRX_121,,,,,,,,,,,,
AR41,,OPAD,MGTTXN0_121,UNUSED,,,,,,,,,,,
AR42,,IPAD,MGTRXP0_121,UNUSED,,,,,,,,,,,
AT1,,IPAD,MGTRXN0_122,UNUSED,,,,,,,,,,,
AT2,,,GND,,,,,,,,,,,,
AT3,,IPAD,MGTREFCLKN_122,UNUSED,,,,,,,,,,,
AT4,,IPAD,MGTREFCLKP_122,UNUSED,,,,,,,,,,,
AT5,,,GND,,,,,,,,,,,,
AT6,scn_data_clt<59>,IOB,IO_L13N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AT7,scn_data_clt<20>,IOB,IO_L8N_CC_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AT8,,,GND,,,,,,,,,,,,
AT9,scn_data_clt<146>,IOB,IO_L1N_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AT10,scn_data_clt<153>,IOB,IO_L12N_VRP_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AT11,,,VCCO_26,,,26,,,,,2.50,,,,
AT12,scn_data_clt<231>,IOB,IO_L9P_CC_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AT13,,,VCCO_30,,,30,,,,,2.50,,,,
AT14,scn_data_clt<238>,IOB,IO_L12N_VRP_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AT15,scn_data_clt<248>,IOB,IO_L17N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AT16,scn_data_clt<239>,IOB,IO_L13P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AT17,scn_data_clt<229>,IOB,IO_L8P_CC_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AT18,,,GND,,,,,,,,,,,,
AT19,scn_data_clt<79>,IOB,IO_L7P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AT20,scn_data_clt<139>,IOB,IO_L3N_GC_D8_4,OUTPUT,LVCMOS25*,4,12,SLOW,,,,UNLOCATED,NO,NONE,
AT21,scn_data_clt<77>,IOB,IO_L19N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AT22,scn_data_clt<167>,IOB,IO_L15N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AT23,,,VCCO_6,,,6,,,,,2.50,,,,
AT24,scn_data_clt<166>,IOB,IO_L0N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AT25,scn_data_clt<58>,IOB,IO_L3N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AT26,scn_data_clt<54>,IOB,IO_L3P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AT27,scn_data_clt<62>,IOB,IO_L7N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AT28,,,GND,,,,,,,,,,,,
AT29,scn_data_clt<82>,IOB,IO_L14P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AT30,scn_data_clt<92>,IOB,IO_L19P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AT31,scn_data_clt<93>,IOB,IO_L19N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AT32,scn_data_clt<81>,IOB,IO_L13N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AT33,,,VCCO_29,,,29,,,,,2.50,,,,
AT34,scn_data_clt<180>,IOB,IO_L6N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AT35,scn_data_clt<66>,IOB,IO_L4N_VREF_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AT36,scn_data_clt<103>,IOB,IO_L1P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AT37,scn_data_clt<67>,IOB,IO_L5P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AT38,,,GND,,,,,,,,,,,,
AT39,,IPAD,MGTREFCLKP_121,UNUSED,,,,,,,,,,,
AT40,,IPAD,MGTREFCLKN_121,UNUSED,,,,,,,,,,,
AT41,,,GND,,,,,,,,,,,,
AT42,,IPAD,MGTRXN0_121,UNUSED,,,,,,,,,,,
AU1,,IPAD,MGTRXN1_122,UNUSED,,,,,,,,,,,
AU2,,,GND,,,,,,,,,,,,
AU3,,,MGTAVCC_122,,,,,,,,,,,,
AU4,,,GND,,,,,,,,,,,,
AU5,,,GND,,,,,,,,,,,,
AU6,scn_data_clt<179>,IOB,IO_L13P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AU7,,,VCCO_26,,,26,,,,,2.50,,,,
AU8,scn_data_clt<55>,IOB,IO_L11P_CC_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AU9,scn_data_clt<182>,IOB,IO_L12P_VRN_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AU10,,,GND,,,,,,,,,,,,
AU11,scn_data_clt<26>,IOB,IO_L14P_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AU12,scn_data_clt<249>,IOB,IO_L18P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AU13,scn_data_clt<237>,IOB,IO_L12P_VRN_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AU14,scn_data_clt<247>,IOB,IO_L17P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AU15,,,GND,,,,,,,,,,,,
AU16,scn_data_clt<240>,IOB,IO_L13N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AU17,scn_data_clt<226>,IOB,IO_L6N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AU18,scn_data_clt<225>,IOB,IO_L6P_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AU19,scn_data_clt<65>,IOB,IO_L7N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AU20,,,VCCO_6,,,6,,,,,2.50,,,,
AU21,scn_data_clt<43>,IOB,IO_L19P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AU22,scn_data_clt<44>,IOB,IO_L18N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AU23,scn_data_clt<34>,IOB,IO_L6N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AU24,scn_data_clt<47>,IOB,IO_L2N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AU25,,,GND,,,,,,,,,,,,
AU26,,,VCCO_29,,,29,,,,,2.50,,,,
AU27,scn_data_clt<150>,IOB,IO_L7P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AU28,scn_data_clt<83>,IOB,IO_L14N_VREF_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AU29,scn_data_clt<86>,IOB,IO_L16P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AU30,,,VCCO_29,,,29,,,,,2.50,,,,
AU31,scn_data_clt<91>,IOB,IO_L18N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AU32,scn_data_clt<27>,IOB,IO_L11P_CC_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AU33,scn_data_clt<118>,IOB,IO_L11N_CC_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AU34,scn_data_clt<119>,IOB,IO_L6P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AU35,,,GND,,,,,,,,,,,,
AU36,scn_data_clt<102>,IOB,IO_L2N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AU37,scn_data_clt<110>,IOB,IO_L1N_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AU38,,,GND,,,,,,,,,,,,
AU39,,,GND,,,,,,,,,,,,
AU40,,,MGTAVCC_121,,,,,,,,,,,,
AU41,,,GND,,,,,,,,,,,,
AU42,,IPAD,MGTRXN1_121,UNUSED,,,,,,,,,,,
AV1,,IPAD,MGTRXP1_122,UNUSED,,,,,,,,,,,
AV2,,OPAD,MGTTXN1_122,UNUSED,,,,,,,,,,,
AV3,,,MGTAVCCPLL_122,,,,,,,,,,,,
AV4,,,GND,,,,,,,,,,,,
AV5,,,GND,,,,,,,,,,,,
AV6,,,GND,,,,,,,,,,,,
AV7,scn_data_clt<159>,IOB,IO_L11N_CC_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AV8,,,GND,,,,,,,,,,,,
AV9,,,GND,,,,,,,,,,,,
AV10,,,GND,,,,,,,,,,,,
AV11,scn_data_clt<191>,IOB,IO_L14N_VREF_26,OUTPUT,LVCMOS25*,26,12,SLOW,,,,UNLOCATED,NO,NONE,
AV12,,,GND,,,,,,,,,,,,
AV13,scn_data_clt<250>,IOB,IO_L18N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AV14,,,GND,,,,,,,,,,,,
AV15,,,GND,,,,,,,,,,,,
AV16,,,GND,,,,,,,,,,,,
AV17,,,GND,,,,,,,,,,,,
AV18,scn_data_clt<45>,IOB,IO_L1P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AV19,scn_data_clt<69>,IOB,IO_L1N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AV20,scn_data_clt<171>,IOB,IO_L9P_CC_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AV21,scn_data_clt<37>,IOB,IO_L18P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AV22,,,GND,,,,,,,,,,,,
AV23,scn_data_clt<165>,IOB,IO_L6P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AV24,scn_data_clt<172>,IOB,IO_L2P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AV25,scn_data_clt<21>,IOB,IO_L5N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AV26,scn_data_clt<15>,IOB,IO_L5P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AV27,,,GND,,,,,,,,,,,,
AV28,,,GND,,,,,,,,,,,,
AV29,,,GND,,,,,,,,,,,,
AV30,scn_data_clt<87>,IOB,IO_L16N_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AV31,scn_data_clt<90>,IOB,IO_L18P_29,OUTPUT,LVCMOS25*,29,12,SLOW,,,,UNLOCATED,NO,NONE,
AV32,,,GND,,,,,,,,,,,,
AV33,,,GND,,,,,,,,,,,,
AV34,,,GND,,,,,,,,,,,,
AV35,,,GND,,,,,,,,,,,,
AV36,scn_data_clt<108>,IOB,IO_L2P_25,OUTPUT,LVCMOS25*,25,12,SLOW,,,,UNLOCATED,NO,NONE,
AV37,,,GND,,,,,,,,,,,,
AV38,,,GND,,,,,,,,,,,,
AV39,,,GND,,,,,,,,,,,,
AV40,,,MGTAVCCPLL_121,,,,,,,,,,,,
AV41,,OPAD,MGTTXN1_121,UNUSED,,,,,,,,,,,
AV42,,IPAD,MGTRXP1_121,UNUSED,,,,,,,,,,,
AW1,,,GND,,,,,,,,,,,,
AW2,,OPAD,MGTTXP1_122,UNUSED,,,,,,,,,,,
AW3,,,MGTAVTTTX_122,,,,,,,,,,,,
AW4,,IPAD,MGTREFCLKP_126,UNUSED,,,,,,,,,,,
AW5,,,MGTAVCC_126,,,,,,,,,,,,
AW6,,,GND,,,,,,,,,,,,
AW7,,,GND,,,,,,,,,,,,
AW8,,,GND,,,,,,,,,,,,
AW9,,IPAD,MGTREFCLKP_130,UNUSED,,,,,,,,,,,
AW10,,,GND,,,,,,,,,,,,
AW11,,,GND,,,,,,,,,,,,
AW12,,,GND,,,,,,,,,,,,
AW13,,,GND,,,,,,,,,,,,
AW14,,,GND,,,,,,,,,,,,
AW15,,IPAD,MGTREFCLKP_134,UNUSED,,,,,,,,,,,
AW16,,,GND,,,,,,,,,,,,
AW17,,,GND,,,,,,,,,,,,
AW18,,,GND,,,,,,,,,,,,
AW19,,,GND,,,,,,,,,,,,
AW20,scn_data_clt<78>,IOB,IO_L9N_CC_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AW21,scn_data_clt<72>,IOB,IO_L16P_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AW22,scn_data_clt<33>,IOB,IO_L16N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AW23,scn_data_clt<42>,IOB,IO_L11P_CC_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AW24,,,GND,,,,,,,,,,,,
AW25,,,GND,,,,,,,,,,,,
AW26,,,GND,,,,,,,,,,,,
AW27,,,GND,,,,,,,,,,,,
AW28,,IPAD,MGTREFCLKP_133,UNUSED,,,,,,,,,,,
AW29,,,GND,,,,,,,,,,,,
AW30,,,GND,,,,,,,,,,,,
AW31,,,GND,,,,,,,,,,,,
AW32,,,GND,,,,,,,,,,,,
AW33,,,GND,,,,,,,,,,,,
AW34,,IPAD,MGTREFCLKP_129,UNUSED,,,,,,,,,,,
AW35,,,GND,,,,,,,,,,,,
AW36,,,GND,,,,,,,,,,,,
AW37,,,GND,,,,,,,,,,,,
AW38,,,MGTAVCC_125,,,,,,,,,,,,
AW39,,IPAD,MGTREFCLKP_125,UNUSED,,,,,,,,,,,
AW40,,,MGTAVTTTX_121,,,,,,,,,,,,
AW41,,OPAD,MGTTXP1_121,UNUSED,,,,,,,,,,,
AW42,,,GND,,,,,,,,,,,,
AY1,,,GND,,,,,,,,,,,,
AY2,,,MGTAVTTRX_126,,,,,,,,,,,,
AY3,,,GND,,,,,,,,,,,,
AY4,,IPAD,MGTREFCLKN_126,UNUSED,,,,,,,,,,,
AY5,,,MGTAVCCPLL_126,,,,,,,,,,,,
AY6,,,MGTAVTTTX_126,,,,,,,,,,,,
AY7,,,GND,,,,,,,,,,,,
AY8,,,MGTAVTTRX_130,,,,,,,,,,,,
AY9,,IPAD,MGTREFCLKN_130,UNUSED,,,,,,,,,,,
AY10,,,MGTAVCC_130,,,,,,,,,,,,
AY11,,,MGTAVCCPLL_130,,,,,,,,,,,,
AY12,,,MGTAVTTTX_130,,,,,,,,,,,,
AY13,,,GND,,,,,,,,,,,,
AY14,,,MGTAVTTRX_134,,,,,,,,,,,,
AY15,,IPAD,MGTREFCLKN_134,UNUSED,,,,,,,,,,,
AY16,,,MGTAVCC_134,,,,,,,,,,,,
AY17,,,MGTAVCCPLL_134,,,,,,,,,,,,
AY18,,,MGTAVTTTX_134,,,,,,,,,,,,
AY19,,,GND,,,,,,,,,,,,
AY20,scn_data_clt<38>,IOB,IO_L14N_VREF_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AY21,,,VCCO_6,,,6,,,,,2.50,,,,
AY22,scn_data_clt<32>,IOB,IO_L5N_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AY23,scn_data_clt<70>,IOB,IO_L11N_CC_6,OUTPUT,LVCMOS25*,6,12,SLOW,,,,UNLOCATED,NO,NONE,
AY24,,,GND,,,,,,,,,,,,
AY25,,,MGTAVTTTX_133,,,,,,,,,,,,
AY26,,,MGTAVCCPLL_133,,,,,,,,,,,,
AY27,,,MGTAVCC_133,,,,,,,,,,,,
AY28,,IPAD,MGTREFCLKN_133,UNUSED,,,,,,,,,,,
AY29,,,MGTAVTTRX_133,,,,,,,,,,,,
AY30,,,GND,,,,,,,,,,,,
AY31,,,MGTAVTTTX_129,,,,,,,,,,,,
AY32,,,MGTAVCCPLL_129,,,,,,,,,,,,
AY33,,,MGTAVCC_129,,,,,,,,,,,,
AY34,,IPAD,MGTREFCLKN_129,UNUSED,,,,,,,,,,,
AY35,,,MGTAVTTRX_129,,,,,,,,,,,,
AY36,,,GND,,,,,,,,,,,,
AY37,,,MGTAVTTTX_125,,,,,,,,,,,,
AY38,,,MGTAVCCPLL_125,,,,,,,,,,,,
AY39,,IPAD,MGTREFCLKN_125,UNUSED,,,,,,,,,,,
